"";"metric";"method";"mean_dist";"sd_dist";"min_dist";"max_dist";"setting";"min_node_size";"covered_effect_vars";"covered_noise_vars";"effect_var_fdr";"time";"mse_val_dat_rf";"mse_val_dat_tree";"mse_rf_pred";"probs_quantiles";"number_splits";"imp.num.var";"epsilon";"method_short";"scenario";"rel_MSE"
"36";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,9518;3,49417360800825;3,07908499879927;1,64516107418742;"No quantiles";7;"5";0,05;"ART";"Scenario 1";0,881205499275238
"37";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,80816666666667;3,7132645366063;3,96971635319878;1,55272973919744;"No quantiles";7;"5";0,05;"ART";"Scenario 1";1,06906370770634
"38";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;1,5425;3,29000083098186;4,06446850559879;1,29521213819327;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,23540044954511
"39";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,88288333333333;3,58473466278968;4,2917523836195;1,44831348421924;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,19723014039751
"40";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,75825;3,51393759077575;4,0671940435553;1,38865410052606;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,15744629450218
"41";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,77086666666667;3,5203307630228;4,1002133315169;1,27161706688464;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,16472388747817
"42";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,7662;3,52261752040638;4,11713058186668;1,17042945158738;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,16877025621326
"43";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,1781;3,54217308070432;4,01944036418851;1,39648770920877;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,13473855529084
"44";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,19953333333333;3,53154377785872;4,21088695713854;1,24878751676779;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,19236436584448
"45";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;4,50305;3,55772115876856;3,36094211544805;1,44418937314465;"No quantiles";8;"5";0,05;"ART";"Scenario 1";0,944689582308743
"46";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,69931666666667;3,24707774585391;4,22801679036917;1,43352284557598;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,30209903220451
"47";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,64958333333333;3,44743335242457;4,5225947974257;1,28753747445608;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,31187301829779
"48";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,86855;3,44849242517944;4,10750059685161;1,32002829341707;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,1911003680508
"49";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,65271666666667;3,61682361625453;4,21773352669303;1,00804421046034;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,16614299567663
"50";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,71431666666667;3,42413663934419;4,05087909152815;1,42587113266907;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,18303663615013
"51";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,19678333333333;3,4651085384062;4,09532816527728;1,43450126081984;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,18187586907767
"52";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,79628333333333;3,30783502152748;3,84017263921872;1,33364258689873;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,16093233617359
"53";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,85683333333333;3,31594303365412;4,03998796492174;1,24970486732131;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,21835264475872
"54";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,65371666666667;3,37065711912762;3,79478036090812;1,36962717601083;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,12582805868141
"55";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,19358333333333;3,4702821208067;3,96570589121727;1,29602772099959;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,14276181392866
"56";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,64133333333333;3,53098933577905;4,17414863269737;1,17797370882083;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,1821470516496
"57";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,96835;3,64147431228982;3,7034171510764;1,51785309873941;"No quantiles";7;"5";0,05;"ART";"Scenario 1";1,01701037367682
"58";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,18008333333333;3,57382493678024;4,30069948498441;1,25765343945172;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,20338840347872
"59";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,91925;3,55799123917507;4,03523436467512;1,28939045966604;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,13413274328655
"60";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,73208333333333;3,60093993140822;4,10763507609461;1,28907400456976;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,14071191253897
"61";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,40308333333333;3,71972030713114;3,63783859459231;1,59715060135796;"No quantiles";6;"5";0,05;"ART";"Scenario 1";0,977987131886812
"62";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,23281666666667;3,7958049178844;3,50306268997044;1,32879071733181;"No quantiles";6;"5";0,05;"ART";"Scenario 1";0,92287743067757
"63";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,85858333333333;3,11020601030892;3,53469460494686;1,49160107086214;"No quantiles";7;"5";0,05;"ART";"Scenario 1";1,13648246875961
"64";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,8476;3,63532301451101;4,0804009124997;1,22711833872214;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,1224314582809
"65";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,70128333333333;3,61244980075132;4,37530433598025;1,39031062053289;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,211173740067
"66";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,81735;3,63807159398887;4,09592631865571;1,08053349276669;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,12585093856408
"67";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,24565;3,50623511901659;3,90554174599545;1,31335058314391;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,11388472633029
"68";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,1991;3,51595453073422;3,80604322026969;1,3709627187692;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,08250638254838
